시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021/03/05,37.4246681,126.8634442
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021/03/05,37.4246681,126.8634442
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021/03/05,37.96024784,126.9579204
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021/03/05,37.96024784,126.9579204
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021/03/05,37.96024784,126.9579204
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021/03/05,37.96024784,126.9579204
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021/03/05,37.72563761,126.9499668
안산시,탄도어촌체험마을,경기도 안산시 단원구 대부황금로 5-14,032-885-3745,2021/03/05,37.19156523,126.6461496
성남시,국가기록원 서울기록관,경기도 성남시 수정구 대왕판교로851번길 30,031-750-2033,2021/03/05,37.41755095,127.0954333
용인시,한택식물원,경기도 용인시 처인구 백암면 한택로 2,031-333-3558,2021/03/05,37.09457472,127.4066007
가평군,포도향이 흐르는 마을,경기도 가평군 상면 음지말로 6,031-585-6262,2021/03/05,37.83162298,127.2913356
이천시,이천청학서당,경기도 이천시 마장면 이섭대천로 155번길 100,031-637-1000,2021/03/05,37.22000319,127.3914101
파주시,영집궁시박물관,경기도 파주시 탄현면 국원말길 168,031-944-6800,2021/03/05,37.7848409,126.7112561
안성시,남사당풍물놀이,경기도 안성시 서운면 청룡리 사당공연장,031-675-3925,2021/03/05,,
남양주시,실학박물관,경기도 남양주시 조안면 다산로 747길,031-579-6000,2021/03/05,,
용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90,031-288-4000,2021/03/05,37.26091947,127.120813
구리시,고구려대장간마을,경기도 구리시 우미내길 41,031-557-1010,2021/03/05,37.56081089,127.1109423
파주시,캠프그리브스 DMZ 체험관,경기도 파주시 문산읍 임진각로 177,031-953-6978,2021/03/05,37.8895362,126.7401868
의왕시,경기의왕 레일바이크,경기도 의왕시 왕송못동로 209,070-7178-4393,2021/03/05,37.31087236,126.9502606
용인시,용인 대장금파크,경기도 용인시 처인구 드라마길 25,031-337-3241,2021/03/05,,
평택시,무봉산청소년수련원,경기도 평택시 진위면 진위로 181-94,031-610-4416,2021/03/05,37.10584874,127.1012055
이천시,테르메덴,경기도 이천시 모가면 사실로 984,031-645-2000,2021/03/05,37.19472901,127.4459485
이천시,미니캠프목공교실,경기도 이천시 설성면 설가로 219번길 176,031-642-2372,2021/03/05,37.15818883,127.5044937
안성시,안성천문대,경기도 안성시 미양면 강덕리 천문대길 60,031-677-2245,2021/03/05,36.95556386,127.2339037
안성시,안성맞춤랜드,경기도 안성시 보개면 남사당로 198,031-678-2518,2021/03/05,37.03286992,127.3077983
양주시,조명박물관,경기도 양주시 광적면 광적로 235-48,070-7780-8911,2021/03/05,37.83610213,126.967524
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021/03/05,37.72563761,126.9499668
양주시,송암스페이스센터,경기도 양주시 장흥면 권율로 185번길 103,031-894-6000,2021/03/05,37.73585174,126.9427526
안산시,종현어촌체험마을,경기도 안산시 단원구 구봉길 240,032-886-6044,2021/03/05,37.2804829,126.5476403
부천시,만화박물관,경기도 부천시 길주로 1,032-310-3090,2021/03/05,37.50867185,126.7437361
남양주시,오남공룡체험전시관,경기도 남양주시 오남읍 팔현로 175번길,031-527-1239,2021/03/05,,
김포시,태산패밀리파크,경기도 김포시 하성면 하성로 585,031-997-6868,2021/03/05,37.72436929,126.6301183
과천시,국립과천과학관,경기도 과천시 상하벌로 110,02-3677-1500,2021/03/05,37.4385349,127.0055434
고양시,한국항공대학교 항공우주박물관,경기도 고양시 덕양구 항공대학로 76,02-3000-4667,2021/03/05,37.5990112,126.8641708
양주시,양주초록지기마을,경기도 양주시 남면 양연로 173번길 26,031-866-5366,2021/03/05,37.92278545,126.997449
여주시,세종천문대,경기도 여주시 강천면 부평리 472-2,031-886-2200,2021/03/05,37.25730913,127.7542056
파주시,경기미래교육 파주캠퍼스,경기도 파주시 탄현면 얼음실로 40,031-1588-0554,2021/03/05,37.78528559,126.7010077
파주시,오두산통일전망대,경기도 파주시 탄현면 필승로 369,031-956-9600,2021/03/05,37.77302559,126.6771018
과천시,한국카메라박물관,경기도 과천시 대공원광장로 8,02-502-4123,2021/03/05,37.4350561,127.0056567
성남시,다시 쓰는 세상 순환자원홍보관,경기도 성남시 분당구 석운로164번길 19,031-1688-9609,2021/03/05,37.3784643,127.0475266
파주시,우농타조마을,경기도 파주시 교하로 595-36,031-942-6272,2021/03/05,37.70546913,126.7135614
양주시,교육농장트로이목마,경기도 양주시 양주산성로 248-5,031-856-2225,2021/03/05,37.77388734,127.0206235
고양시,일산동물의왕국,경기도 고양시 일산서구 장수길 29,031-918-5656,2021/03/05,37.65980578,126.7434754
용인시,목재문화체험,경기도 용인시 처인구 모현면 초부로 220,031-324-3787,2021/03/05,37.31577253,127.2688892
가평군,초롱이둥지마을,경기도 가평군 설악면 묵안로 906,031-584-9959,2021/03/05,37.6031189,127.5248447
화성시,은수포관광농원,경기도 화성시 서신면 은수포길 194,031-357-3423,2021/03/05,37.19991547,126.6916017
광주시,오색향농원,경기도 광주시 곤지암읍 광여로 336-27,031-761-0306,2021/03/05,37.36231136,127.3775072
오산시,생태학습체험관 오산 에코리움,경기도 오산시 오산천로 52,031-8036-6477,2021/03/05,37.13825273,127.0644454
수원시,수원시기후변화체험교육관 두드림,경기도 수원시 권선구 호매실로 46-38 기후변화체험관,031-273-8320,2021/03/05,37.25784648,126.9686443
수원시,수원화성홍보관,경기도 수원시 팔달구 행궁로 11,031-290-3600,2021/03/05,37.28079737,127.0151842
수원시,삼성이노베이션뮤지엄,경기도 수원시 영통구 삼성로 129 삼성전자 삼성이노베이션뮤지엄,031-200-3113,2021/03/05,37.25763665,127.0531333
수원시,니나노 공정여행,경기도 수원시 영통구,031-306-4431,2021/03/05,,
용인시,화운사,경기도 용인시 처인구 동백죽전대로 111-14,031-337-2576,2021/03/05,37.25344341,127.1612992
용인시,용인문수산법륜사,경기도 용인시 처인구 원삼면 농촌파크로 126,031-332-5703,2021/03/05,37.16980923,127.2991391
용인시,유아숲체험원,경기도 용인시 수지구,031-324-3748,2021/03/05,,
화성시,민들레연극마을,경기도 화성시 우정읍 이화뱅곳길 22,031-358-7587,2021/03/05,37.03964713,126.7979009
안성시,꽃뫼마을,경기도 안성시 고삼면 이전봉산길 256-7,010-3724-0841,2021/03/05,,
안성시,신기마을,경기도 안성시 금광면 신양복길 18-43,010-5332-1575,2021/03/05,37.00801269,127.3222145
안성시,안성맞춤공예문화센터,경기도 안성시 보개면 남사당로 198-10,031-676-6543,2021/03/05,37.03462433,127.311302
화성시,신하늘목장,경기도 화성시 남양읍 장덕동길 32-9,031-356-2065,2021/03/05,37.16201067,126.8097116
화성시,화성 궁평리마을,경기도 화성시 서신면 궁평항로 1069-11,031-356-7339,2021/03/05,37.11615561,126.6833759
화성시,백미리마을,경기도 화성시 서신면 백미길210-35,031-356-3379,2021/03/05,37.1434727,126.6801435
화성시,송라마을,경기도 화성시 매송면 매송북길 241,031-296-3542,2021/03/05,37.28452547,126.9074266
화성시,청미르 휴양마을,경기도 화성시 송산면 공룡로 484,,2021/03/05,37.24809533,126.7463933
화성시,샌드리버,경기도 화성시 송산면 송산로152번길 28,031-366-8338,2021/03/05,37.22256215,126.7217822
포천시,포천 어메이징파크,경기도 포천시 신북면 탑신로 860,031-532-1881,2021/03/05,37.92655925,127.1422027
수원시,칠보생태환경체험교육관,경기도 수원시 권선구 서수원로 577번길 225,031-295-4545,2021/03/05,37.276469,126.9450176
양평군,양평 양떼목장,경기도 양평군 은고갯길 112,010-4799-8541,2021/03/05,37.51542129,127.6288192
평택시,밝은세상영농조합,경기도 평택시 포승읍 충열길 37,031-683-0981,2021/03/05,36.97104842,126.8735556
여주시,여주해바라기체험마을,경기도 여주시 강천면 부평로 368,031-886-8668,2021/03/05,37.2844393,127.740525
이천시,이천자채방아마을,경기도 이천시 대월면 대월로358번길 168-24,031-634-4283,2021/03/05,37.19114449,127.5070195
의왕시,승림식물원,경기도 의왕시 청계동 546-1,031-426-2557,2021/03/05,37.39410672,127.0094996
여주시,도리늘향골마을,경기도 여주시 점동면 도리 133-1,010-9174-7876,2021/03/05,37.22625901,127.7074977
양평군,옹달샘꽃누름마을,경기도 양평군 용문면 궁촌길29번길 12-1,031-773-3098,2021/03/05,37.46204507,127.608057
여주시,루돌프(사슴마을),경기도 여주시 금사면 금품2로 483,010-5245-1927,2021/03/05,37.37621697,127.4728472
여주시,여성생활사박물관,경기도 여주시 강천면 강천로 324-20,031-882-8100,2021/03/05,37.24252242,127.7081456
여주시,신륵사,경기도 여주시 여주읍 신륵사길 73,031-885-2505,2021/03/05,37.29742052,127.6599489
안성시,선비마을,경기도 안성시 양성면 덕봉길 45,031-672-6875,2021/03/05,37.04473877,127.1876548
안성시,너리굴문화마을,경기도 안성시 보개면 너리굴길100,031-675-2171,2021/03/05,37.04072495,127.2787777
안성시,아트센터마노,경기도 안성시 보개면 나마당로 196-33,031-676-7815,2021/03/05,,
김포시,다도박물관,경기도 김포시 월곶면 애기봉로 275번길 187-49,031-998-1000,2021/03/05,37.73753694,126.5744441
여주시,여주한지문화체험학교,경기도 여주시 점동면 안평로 296,031-886-0135,2021/03/05,37.20214208,127.7116971
이천시,이천청학서당,경기도 이천시 마장면 이섭대천로 155번길 100,031-637-1000,2021/03/05,37.22000319,127.3914101
