시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
의왕시,하우현 성당,경기도 의왕시 청계동 201,031-426-8921,2021/03/05,37.39597478,127.0237413
의왕시,모락산성,경기도 의왕시 내손동 산 122번지,,2021/03/05,37.36920001,126.9765105
의왕시,한익모 선생묘,경기도 의왕시 월암동 산 27-1,031-345-2533,2021/03/05,37.30709652,126.9586424
의왕시,채세영선생묘 및 신도비,경기도 의왕시 포일동 산12,031-345-2533,2021/03/05,37.39730539,126.9979694
의왕시,안자묘,경기도 의왕시 왕곡동 산 4-1번지,031-345-2533,2021/03/05,37.34991257,127.0078866
의왕시,정인섭동요비,경기도 의왕시 청계동 산11 천주교 공원묘지 내,031-458-3452,2021/03/05,,
의왕시,사근행궁터,경기도 의왕시 사그내길 11,031-345-2533,2021/03/05,37.34786437,126.9759252
의왕시,갈미한글공원,경기도 의왕시 문화예술로 일원(내손동 207번지),031-345-2533,2021/03/05,,
과천시,보광사 목조여래좌상,경기도 과천시 교육원로 41 보광사 내,,2021/03/05,37.42278948,126.9847839
과천시,과천관악사지,경기도 과천시 중앙동 산12-1 중앙동 산12-9,,2021/03/05,,
과천시,시흥 문원리 삼층석탑,경기도 과천시 교육원로 41,,2021/03/05,37.42278948,126.9847839
과천시,역대 현감비석군,경기도 과천시 관악산길 58,,2021/03/05,37.43608282,126.9926959
성남시,망경암 마애여래좌상,경기도 성남시 수정구 태평로 55번길 72,,2021/03/05,37.45355143,127.1371981
고양시,행주산성,경기도 고양시 덕양구 행주내동 산 26,031-8075-4642,2021/03/05,,
포천시,지장산,경기도 포천시 관인면 중리 산251-1,031-538-4652,2021/03/05,,
포천시,포천고모리산성,경기도 포천시 소흘읍 고모리 산 64,031-538-2106,2021/03/05,37.78856229,127.1574706
평택시,평택원정리봉수대,경기도 평택시 포승읍 원정리 109-54,031-655-2002,2021/03/05,,
이천시,설봉산성,경기도 이천시 사음동 산24,031-644-2114,2021/03/05,37.28693943,127.4186919
오산시,독산성 세마대지,경기도 오산시 지곶동 155,031-8036-7604,2021/03/05,37.18260807,127.0188956
연천군,연천호로고루,경기도 연천군 장남면 원당리 1258,031-839-2144,2021/03/05,37.98575469,126.8595593
김포시,문수산성,경기도 김포시 월곶면 문수산로 102-38,031-920-2965,2021/03/05,37.73782684,126.5308936
