시군명,시설명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
부천시,부천교육박물관,경기도 부천시 원미구 소사로 482,032-661-1282,2021/03/05,37.5025683,126.7990308
부천시,부천물박물관,경기도 부천시 오정구 길주로 691 까치울정수장 관리본관 1층,032-625-3399,2021/03/05,37.50729207,126.8192658
파주시,헤이리예술마을,경기도 파주시 탄현면 헤이리마을 59-78,031-946-8551,2021/03/05,,
파주시,인스퀘어(라임트리),경기도 파주시 탄현면 헤이리마을길 21-6,031-957-0896,2021/03/05,37.78809451,126.696571
포천시,한과문화박물관 한가원,경기도 포천시 영북면 산정호수로322번길 26-9,031-533-8121,2021/03/05,38.06834273,127.3037185
구리시,고구려대장간마을,경기도 구리시 우미내길 41,031-557-1010,2021/03/05,37.56081089,127.1109423
용인시,용인 대장금 파크,경기도 용인시 처인구 드라마길 25,031-337-3241,2021/03/05,,
수원시,kbs수원센터,경기도 수원시 팔달구 인계로 123,031-219-8081,2021/03/05,37.27006261,127.0333331
파주시,프로방스,경기도 파주시 탄현면 새오리로 79-24,031-946-6353,2021/03/05,37.79128781,126.6838501
남양주시,몽골문화촌,경기도 남양주시 수동면 비룡로 1635,031-559-8018,2021/03/05,37.7577207,127.2749799
평택시,지영희국악관,경기도 평택시 현덕면 평택호길 147 한국소리터어울림동 1층,031-8024-8689,2021/03/05,36.92113256,126.9208602
화성시,경기도농업기술원,경기도 화성시 병점중앙로 283-33,031-229-5900,2021/03/05,37.22301392,127.0436776
파주시,활판공방,경기도 파주시 문발로 203,031-955-0084,2021/03/05,37.71262256,126.6865517
파주시,엘비스프레스리기념관,경기도 파주시 광탄면 보광로920번길 30,031-948-3385,2021/03/05,37.7772342,126.8836322
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021/03/05,37.72563761,126.9499668
안성시,조병화문학관,경기도 안성시 양성면 난실길 14-1,031-674-0307,2021/03/05,37.1120789,127.2216288
안산시,성호기념관,경기도 안산시 상록구 성호로 131,031-481-2574,2021/03/05,37.31509455,126.8595843
안산시,누에섬등대전망대,경기도 안산시 단원구 대부황금로 17-156,010-3038-2331,2021/03/05,37.18663618,126.6314801
부천시,펄벅기념관,경기도 부천시 소사구 성주로214번길 61,032-668-7565,2021/03/05,37.47555895,126.7817081
남양주시,김교각기념관,경기도 남양주시 와부읍 석실로율석안길 167 백천사,031-577-6433,2021/03/05,37.62513311,127.2313538
광주시,물환경전시관,경기도 광주시 남종면 산수로 1692,031-8008-6937,2021/03/05,37.49958945,127.3030108
광명시,오리이원익기념관,경기도 광명시 오리로 287,02-2680-6307,2021/03/05,37.42851741,126.880501
수원시,수원화성홍보관,경기도 수원시 팔달구 행궁로 11,031-290-3600,2021/03/05,37.28079737,127.0151842
수원시,아담스기념관,경기도 수원시 팔달구 매향동 110번지,031-228-2476,2021/03/05,,
광주시,일본군 위안부 역사관,경기도 광주시 퇴촌면 가새골길 85,031-768-0064,2021/03/05,37.44285133,127.3220161
파주시,20세기소년소녀관,경기도 파주시 탄현면 헤이리마을길 59-118,031-957-0636,2021/03/05,37.79229824,126.6957872
파주시,파주장단콩전시관,경기도 파주시 문산읍 임진각로 148-73,031-940-4516,2021/03/05,37.89144746,126.7402695
평택시,평택항홍보관,경기도 평택시 포승읍 평택항로 98,031-682-5663,2021/03/05,36.970034,126.8475563
파주시,월당전시관,경기도 파주시 문산읍 반구정로 36-13,031-945-9199,2021/03/05,37.86718507,126.758698
