시군명,명칭,전화번호,소재주소,위도,경도,카테고리
경기도,바다향기수목원,031-8008-6972,경기도 안산시 단원구 대부황금로 399,37.22357254,126.6427653,수목원
가평군,아침고요원예수목원,031-1544-6703,경기도 가평군 상면 수목원로 432,37.7439356,127.3524571,수목원
경기도,물향기수목원,031-378-1261,경기도 오산시 청학로 211,37.1661425,127.0596379,수목원
과천시,서울대공원식물원,02-500-7338,경기도 과천시 대공원광장로 102,37.425973,127.0235491,수목원
광주시,곤지암화담숲,031-8026-6666,경기도 광주시 도척면 도척윗로 278,37.3401531,127.2916932,수목원
남양주시,산들소리수목원,031-574-3252,경기도 남양주시 불암산로59번길 48-31,37.651055,127.1013767,수목원
남양주시,물맑음수목원,031-5902-4075,경기도 남양주시 수동면 지둔로307번길 47-4,37.70544345,127.29034909999999,수목원
부천시,부천무릉도원수목원,032-320-3000,경기도 부천시 길주로 660,37.5051241,126.8157085,수목원
성남시,신구대학교식물원,031-724-1600,경기도 성남시 수정구 적푸리로 9,37.433500099999996,127.0810469,수목원
시흥시,용도수목원,031-313-9090,경기도 시흥시 밭뒤길 32,37.4190229,126.8262142,수목원
안양시,서울대관악수목원,031-473-0071,경기도 안양시 만안구 예술공원로 280,37.4159435,126.93115139999999,수목원
양주시,양주자생수목원,031-826-0933,경기도 양주시 장흥면 권율로309번길 167-35,37.7439284,126.94971540000002,수목원
양평군,들꽃식물원,031-772-1800,경기도 양평군 양평읍 수목원길 16,37.5015506,127.47131200000001,수목원
여주시,황학산수목원,031-887-2741,경기도 여주시 황학산수목원길 73,37.27847070000001,127.64941979999999,수목원
용인시,한택식물원,031-333-3558,경기도 용인시 처인구 백암면 한택로 2,37.09634439999999,127.4027439,수목원
이천시,덕평공룡수목원,031-633-5029,경기도 이천시 마장면 작촌로 282,37.230883,127.3373639,수목원
포천시,국립수목원,031-540-2000,경기도 포천시 소흘읍 광릉수목원로 415,37.7520407,127.168526,수목원
포천시,평강식물원,031-531-7751,경기도 포천시 영북면 우물목길 171-18,38.0507576,127.3027909,수목원
화성시,우리꽃식물원,031-369-6163,경기도 화성시 팔탄면 3.1만세로 777-17,37.115367299999996,126.8838877,수목원
평택시,서해대교,,경기도 평택시 포승읍 만호리 327-4,,,자연
김포시,재두루미도래지,,경기도 김포시 하성면 가금리 538,37.73953192,126.6029213,자연
이천시,노성산말머리바위,,경기도 이천시 설성면 진상미로 238-7 노성산,,,자연
안산시,구봉도낙조전망대,031-1899-1720,경기도 안산시 단원구 구봉타운길 43,37.28106708,126.55191940000002,자연
고양시,노래하는분수대,031-924-5822,경기도 고양시 일산동구 호수로 595,37.6537547,126.7686925,자연
양평군,두물머리,031-770-1001,경기도 양평군 양서면 양수리 697,37.53362111,127.3174769,자연
가평군,잣향기푸른숲,031-8008-6769,경기도 가평군 상면 축령로 289-146,37.76914766,127.33356780000001,자연
군포시,초막골생태공원,031-390-4051,경기도 군포시 초막골길 216,37.354098,126.91911999999999,자연
포천시,산정호수,031-532-6135,경기도 포천시 영북면 산정호수로411번길 89,38.06887673,127.3221175,자연
안성시,칠곡호수,031-673-9771,경기도 안성시 원곡면 칠곡리,,,자연
안성시,청룡호수,031-673-9771,경기도 안성시 서운면 청용리 산1-17,36.90575614,127.2811275,자연
평택시,평택호관광단지,031-8024-8687,경기도 평택시 현덕면 평택호길 159,36.92144571,126.92222759999999,자연
시흥시,청룡저수지,031-313-8050,경기도 시흥시 방산동 634-4,37.41185061,126.7600281,자연
시흥시,과림저수지,02-2612-3858,경기도 시흥시 과림저수지길 79,37.45310398,126.82727209999999,자연
용인시,이동저수지,,경기도 용인시 처인구 이동면 어비리 산46,37.128676399999996,127.20737709999999,자연
양주시,신암저수지,031-863-5882,경기도 양주시 남면 신암리,,,자연
여주시,신륵사관광지,031-885-2505,경기도 여주시 신륵사길 73,37.29742052,127.6599489,자연
양주시,덕계저수지,031-864-6536,경기도 양주시 덕계동 산7,37.83064219,127.0390946,자연
부천시,시민의강,032-625-3563,경기도 부천시 부흥로 399,37.49038125,126.7853557,자연
