시군명,시설명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
가평군,가평 행복마을 캠핑장,경기도 가평군 상면 청군로 776-22,010-9980-9122,2021/03/05,37.78072316,127.3715962
가평군,가평 오렌지캠프,경기도 가평군 북면 멱골로272번길 7,010-2713-5561,2021/03/05,37.91336045,127.5765639
가평군,사계절글램핑,경기도 가평군 가평읍 북한강변로 154,,2021/03/05,37.7468014,127.52529
양주시,선녀와나무꾼,경기도 양주시 덕계동 평화로1501번길 90,010-4138-9734,2021/03/05,37.82678008,127.0465985
연천군,석장리미술관 카라반,경기도 연천군 백왕로225번길 240-1,,2021/03/05,38.05428606,126.9180749
연천군,MG펜션(연천수영장캠핑장),경기도 연천군 신서면 대광리 165-3,,2021/03/05,38.21459762,127.1392319
양평군,서후리캠핑장,경기도 양평군 서차남1길 4-0,,2021/03/05,37.57277259,127.4195622
연천군,서정온천오토캠핑장,경기도 연천군 장남면 장백로330번길 137-28,031-835-0312,2021/03/05,37.99591846,126.8859636
과천시,서울대공원 캠핑장,경기도 과천시 대공원광장로 102,02-500-7335,2021/03/05,37.43644317,127.0141028
가평군,레저스테이션리조트,경기도 가평군 설악면 자잠로282번길 72-95,031-585-9131,2021/03/05,37.70000693,127.4999433
성남시,성남시 가족캠핑숲,경기도 성남시 수정구 가마절로 47,031-729-4299,2021/03/05,,
화성시,궁평캠프 승마장,경기도 화성시 서신면 궁평항로,031-357-7181,2021/03/05,,
양평군,글램퍼스 양평점,경기도 양평군 단월면 대부록길 38-3,010-7711-8888,2021/03/05,37.57933881,127.6819551
가평군,청평다감 캠핑장,경기도 가평군 청평면 호반로 886,010-3540-4789,2021/03/05,37.71061427,127.4819948
가평군,아침고요카라반글램핑,경기도 가평군 상면 임초밤안골로 306,010-8938-1584,2021/03/05,37.7476754,127.3591785
가평군,푸른숲캠핑장,경기도 가평군 설악면 유명산길 61-108,010-3266-8577,2021/03/05,37.59702826,127.4946531
양주시,양주송천캠핑장,경기도 양주시 백석읍 기산리 382-3번지,010-9090-9005,2021/03/05,37.77300747,126.9377843
김포시,문수골산장 캠핑장,경기도 김포시 월곶면 문수산로 104-107,031-997-8959,2021/03/05,37.74053999,126.5353186
가평군,융프라우캠핑장,경기도 가평군 설악면 어비산길 201-29,010-2774-5726,2021/03/05,37.59250277,127.5139215
연천군,인디캠프,경기도 연천군 전곡읍 양원로 108-37,031-833-6900,2021/03/05,37.98743419,127.021048
연천군,조선왕가 로얄카바나,경기도 연천군 연천읍 현문로 339-10,031-834-8383,2021/03/05,38.06354995,127.1014783
안성시,안성맞춤캠핑장,경기도 안성시 보개면 문화예술로195-34,031-677-8267,2021/03/05,,
안성시,두리캠핑장,경기도 안성시 서운면 청룡길 90-64,031-675-5595,2021/03/05,36.90486129,127.2848617
가평군,남이섬베스트캠핑장,경기도 가평군 가평읍 금대리 329,010-8691-7872,2021/03/05,37.77704584,127.531331
가평군,솔다람숲힐링파크,경기도 가평군 가평읍 두밀리 144-7,010-9038-9961,2021/03/05,37.82225118,127.4475053
평택시,소풍정원 캠핑장,경기도 평택시 고덕면 궁리 424-25,031-668-4815,2021/03/05,37.01176782,127.0205338
가평군,가평 리즈밸리글램핑펜션,경기도 가평군 설악면 어비산길 201-34,031-584-2750,2021/03/05,37.59151142,127.5127659
화성시,카라반 캠프,경기도 화성시 서신면 해안길 72,010-3589-8031,2021/03/05,37.1691231,126.6279186
포천시,운악레저타운,경기도 포천시 화현면 화동로432번길 26,010-8866-0261,2021/03/05,37.90517537,127.3106366
연천군,사나래글램핑파크,경기도 연천군 왕징면 북삼리 209-2,031-833-1107,2021/03/05,38.09061708,127.0005443
포천시,포천우리캠핑장,경기도 포천시 이동면 금강로 6280,031-535-7614,2021/03/05,38.08843796,127.3916091
양평군,상상글램퍼스,경기도 양평군 옥천면 용천로 317,010-8484-8203,2021/03/05,37.54766114,127.4999774
남양주시,북한강뷰 카라반파크,경기도 남양주시 화도읍 북한강로 1546,02-566-0665,2021/03/05,37.64662453,127.3650827
가평군,자우림펜션,경기도 가평군 북면 가화로 2697-137,010-4488-4644,2021/03/05,37.97015736,127.4519201
안산시,씨엘관광농원 캠핑장,경기도 안산시 단원구 대부황금로 976,032-881-0750,2021/03/05,37.24943632,126.5919494
포천시,파인벨리펜션&글램핑,경기도 포천시 화현면 명덕리 193-4,010-8538-8233,2021/03/05,37.87506134,127.2740663
포천시,송가네 오가리캠핑장,경기도 포천시 창수면 전영로 1023번길 115,010-6048-2081,2021/03/05,38.02306465,127.1650904
포천시,한탄강 화적연캠핑장,경기도 포천시 관인면 뗏마루길 43-116,031-531-0575,2021/03/05,,
용인시,캠프레이크,경기도 용인시 기흥구 고매동 539-1,010-2456-5390,2021/03/05,37.2273552,127.1000706
용인시,카라반베이캠핑장,경기도 용인시 처인구 포곡읍 전대로 62,031-323-5511,2021/03/05,37.28424302,127.2194392
용인시,씨밀레자연관광농원,경기도 용인시 이동면 묵리 382-4,010-9227-8645,2021/03/05,37.16333129,127.2488441
용인시,송원글램핑파크,경기도 용인시 처인구 남사면 전궁로95번길 93,031-337-1200,2021/03/05,37.10740614,127.1429863
용인시,용인산수골캠핑장,경기도 용인시 처인구 이동면 원천로41번길 81,010-8706-1488,2021/03/05,37.19444738,127.2165717
용인시,봉봉캠핑장,경기도 용인시 처인구 이동읍 백자로184번길 17,010-9906-2281,2021/03/05,37.20716099,127.1693272
용인시,용인힐링캠핑장,경기도 용인시 처인구 원삼면 보개원삼로 1361,010-2888-0972,2021/03/05,37.11893896,127.30811
용인시,에이스펜션카라반,경기도 용인시 처인구 이동읍 이원로 547,031-322-4221,2021/03/05,37.16501514,127.2437925
용인시,용인 미르힐,경기도 용인시 처인구 초부로 215-7,031-333-1222,2021/03/05,37.3154498,127.265211
용인시,문수산오토캠핑장,경기도 용인시 처인구 이동면 이원로 637-3,010-8765-3135,2021/03/05,37.16229537,127.2534766
용인시,단풍숲캠핑장,경기도 용인시 처인구 원삼면 목신리 258-14,010-4301-7942,2021/03/05,37.12443875,127.3144677
용인시,양달농원캠핑장,경기도 용인시 처인구 원삼면 학일로 100-2,031-334-4567,2021/03/05,37.14912759,127.2870207
용인시,팡팡캠핑장,경기도 용인시 처인구 원삼면 동부로 1041,010-5345-8500,2021/03/05,37.181812,127.2915593
가평군,명돈골캠핑장,경기도 가평군 북면 논남기길 19-36,031-582-1991,2021/03/05,37.96724007,127.4596523
가평군,알파고글램핑,경기도 가평군 상면 청군로 1559,010-5287-4471,2021/03/05,37.82133367,127.3209748
가평군,또올래캠핑장,경기도 가평군 북면 가화로 2745-70,010-2918-7780,2021/03/05,37.97469808,127.4476929
연천군,알멕스랜드캠핑장,경기도 연천군 왕징면 왕산로218번길 61,010-5266-4017,2021/03/05,38.0731057,127.0070138
가평군,오카나간오토캠핑장펜션,경기도 가평군 설악면 유명산길 61-12,010-5819-3315,2021/03/05,37.59645126,127.4922403
포천시,키즈글램핑GEO,경기도 포천시 이동면 금강로 6561,010-9921-1156,2021/03/05,38.11049691,127.3969035
포천시,깊이울 달빛 캠핑장,경기도 포천시 신북면 심곡리 734-2,010-2436-6512,2021/03/05,37.92170769,127.1690435
안성시,율곡관광농원 캠핑장,경기도 안성시 삼죽면 율곡리 356,010-9003-6702,2021/03/05,37.10213345,127.3816525
동두천시,온새미 오토캠핑장,경기도 동두천시 탑동동 647,010-9029-6071,2021/03/05,37.87970998,127.0976381
고양시,킨텍스캠핑장,경기도 고양시 킨텍스 야외전시장(일산서구 대화동 2720번지),031-913-1700,2021/03/05,,
구리시,늘푸른캠핑장,경기도 구리시 동구릉로459번길 181,031-572-4511,2021/03/05,37.63596736,127.1312807
동두천시,산촌 캠핑장,경기도 동두천시 탑동동 286,010-4629-5795,2021/03/05,37.90091596,127.1206737
가평군,향기로운 추억 캠핑장,경기도 가평군 가평읍 북한강변로 272-1,070-4882-2892,2021/03/05,37.75286459,127.5358833
연천군,힐링카라반,경기도 연천군 장남면 장백로330번길 46-97,031-835-6000,2021/03/05,37.99247126,126.8903314
가평군,화야캠핑장,경기도 가평군 설악면 유명로 1970-41,010-5123-7281,2021/03/05,,
