cityID,city,latitude,longitude
0,서울시,37.56638,126.977902
1,인천시,37.455791,126.705401
2,수원시,37.263201,127.028574
3,성남시,37.420011,127.126627
4,안양시,37.394051,126.958697
5,안산시,37.321478,126.828954
6,용인시,37.240941,127.177933
7,광명시,37.478493,126.864602
8,평택시,36.991734,127.095997
9,과천시,37.428589,126.988849
10,오산시,37.149846,127.077376
11,시흥시,37.38005,126.802881
12,군포시,37.36045,126.933051
13,의왕시,37.344718,126.968299
14,하남시,37.539252,127.214926
15,이천시,37.272186,127.435002
16,안성시,37.007948,127.279763
17,김포시,37.615152,126.715633
18,화성시,37.197956,126.828593
19,여주시,37.29829,127.637329
20,부천시,37.503283,126.765908
21,양평군,37.491682,127.487557
22,고양시,37.658377,126.833811
23,의정부시,37.738097,127.033679
24,동두천시,37.903511,127.060407
25,구리시,37.594252,127.129522
26,남양주시,37.635918,127.215442
27,파주시,37.758848,126.778317
28,양주시,37.784028,127.045545
29,포천시,37.894864,127.200344
30,연천군,38.096501,127.071583
31,가평군,37.831205,127.509538
