휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자
칼봉산자연휴양림,경기도,공유림,2640000,160,0,Y,"숲속의집, 산림휴양관, 생태숲, 생태체험학습장, 야영장 등",경기도 가평군 가평읍 경반안로 454,가평군 시설관리공단,031-8078-8061,www.kalbong.com,37.8365339,127.4650719,2020-05-10
강씨봉자연휴양림,경기도,공유림,9800000,102,"일반1000원, 청소년 600원, 어린이 300원",Y,"숲속의집, 산림휴양관 등",경기도 가평군 북면 논남기길 520,경기도산림환경연구소,031-8008-6611,http://farm.gg.go.kr,37.96340859,127.4070579,2020-05-10
구름산산림욕장,경기도,국유림,3000000,300,무료,N,"피크닉장, 황토길, 세족장, 야외소공연장, 놀이시설",경기도 광명시 하안동 산141-7,광명시,02-2680-2377,http://www.gm.go.kr/pt/user/bbs/BD_selectBbs.do?q_bbsCode=2298&q_bbscttSn=20190218155830749,37.454013,126.876365,2020-07-15
문수산산림욕장,경기도,공유림,700000,,주차료(1000~5000원),N,"숲길,산림욕장",경기도 김포시 월곶면 문수산로 102-38,"김포시 시설관리공단(산림욕장 관리), 김포시 공원녹지과(숲길관리)",031-988-2965,http://www.gp.or.kr/sub03/sub03_01.asp,37.737829,126.5308885,2019-06-26
축령산자연휴양림,경기도,공유림,7790000,172,"일반1000원, 청소년 600원, 어린이 300원",Y,"숲속의집, 산림휴양관, 야영장 등",경기도 남양주시 수동면 축령산로 299,경기도산림환경연구소,031-591-0681,http://farm.gg.go.kr,37.75446247,127.3124618,2020-05-10
동두천자연휴양림,경기도,공유림,700000,1000,성인2000+청소년구인1500+아동1000,Y,"숲속의집, 야외데크, 잔디광장, 유아숲체험원,",경기도 동두천시 탑동가산로 1,동두천시청 관광휴양과,031-860-3258,https://blog.naver.com/ddcforest,37.8898854795,127.1371472,2021-01-21
서운산자연휴양림,경기도,공유림,851805,214,N,Y,"숲속의집, 오토캠핑장, 야영장, 카라반",경기도 안성시 금광면 배티로 185-39,경기도 안성시청,031-678-2913,https://www.anseong.go.kr/tourPortal/anseongforest/main.do,36.942182,127.313722,2019-03-31
장흥 자연휴양림,경기도,사유림,499000,300,무료,N,"물놀이장, 썰매장",경기도 양주시 장흥면 권율로 594,민간(㈜해성농림),080-233-7766,http://www.fes-artvalley.com/,37.75816692,126.9685293,2020-11-02
아세안자연휴양림,경기도,공유림,583880,500,일반1000원+일반(단체)800원+청소년600원+청소년(단체)500원+어린이300원+어린이(단체)200원,Y,"숲속의집14동, 안내센터, 다목적광장 등",경기도 양주시 백석읍 기산로 472,산림청,031-871-2796,www.huyang.go.kr,37.77382293,126.9421758,2020-11-02
양평쉬자파크,경기도,공유림,330834,538,유료(주차료 없음),Y,"치유의숲,치유의집,초가원,산림교육센터, 치유센터,공원관리소, 유아숲체험원,까페동 등",경기도 양평군 양평읍 쉬자파크길 193,경기도 양평군청,031-770-1009,http://www.ypforest.com/,37.511553,127.532881,2020-10-16
용문산자연휴양림,경기도,공유림,870852,300,무료(주차료 없음),Y,"행복마루, 솔마루, 하늘마루, 산림휴양관,숲속의집,생태행복관,야영데크 등",경기도 양평군 양평읍 약수사길 78-14,경기도 양평군청,031-775-4005,www.swijapark.com,37.5163792,127.5192356,2020-10-16
설매재자연휴양림,경기도,사유림,349568,288,유료,Y,"숲속의집,산림휴양관,이벤트홀, 데크야영 등",경기도 양평군 옥천면 용천로 510,개인(양현철),031-772-5955,www.snrf.co.kr,37.556802,127.509429,2020-10-16
고대산자연휴양림,경기도,국유림,314000,183,"어른 :  개인 1,000원, 단체 800원청소년,군인 : 개인 800원, 단체 600원어린이 : 개인 500원, 단체 300원",Y,숲속의집 13동13실산림휴양관 1동2층6실숲속수련원 1동1실방문자센터 1동2층야영장데크 20개소,경기도 연천군 신서면 고대산길 84-79,연천군청,031-834-2200,https://godaesan.foresttrip.go.krwww.foresttrip.go.kr,38.2112539142,127.1507057687,2020-06-30
용인자연휴양림,경기도,공유림,1622705,1800,"개인(성인:2000원, 청소년:1000원, 어린이:600원), 단체(성인:1600원, 청소년:800원, 어린이:400원)",Y,"숲속의집, 숲속체험관, 목조주택, 생태습지, 야영장, 잔디광장, 짚라인, 목재문화체험관 등",경기도 용인시 처인구 모현읍 초부로 220,용인시/용인도시공사위탁운영,031-336-0040,www.yonginforest.net,37.314713,127.265315,2019-04-10
바라산자연휴양림,경기도,공유림,2085484,470,없음,Y,"숲속의집,야영장,치유의숲,체험의숲,산림문화휴양관",경기도 의왕시 바라산로 84,의왕도시공사,031-8086-7482,http://barasan.foresttrip.go.kr/,37.374082,127.010988,2020-03-12
국망봉자연휴양림,경기도,사유림,2554814,60,"관람객:5,000원, 등산객:2,000원",Y,"통나무 집, 캠핑장 등",경기도 포천시 이동면 늠바위길 207-28,김봉일,031-532-0014,www.kookmang.co.kr,38.02891868,127.3962681,2020-05-08
천보산자연휴양림,경기도,공유림,1165686,80,"일반:2,000원, 단체:1,400원",Y,"숲속의집, 휴양관, 야영장 등",경기도 포천시 원동교길 309,포천시,031-538-3554,임시휴장중,37.8533327,127.1214356,2020-05-08

